Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
524.87999,524.87999,524.87999,524.87999,0.7,367.415993,0.5248799900000001
500.0,524.87998,490.10042,516.11742,26.86,13340.988395,0.496686090654
0.0,0.0,0.0,0.0,0.0,0.0,0.0
524.85421,524.85421,524.85358,524.85358,1.312091,688.655967687,0.524853815541
495.08275,495.08275,495.08275,495.08275,0.02382,11.792871105,0.49508274999999996
524.78733,524.87551,524.78733,524.87543,0.517827,271.764457524,0.5248170866409999
495.25973,524.76998,495.25973,524.26603,0.45841051,228.634930677,0.498755865517
495.26149,509.98296,490.5,509.98296,5.61203945,2789.68712995,0.49708972198100004
490.01,490.01,490.01,490.01,0.09953429,48.7727974429,0.49001
524.76939,524.76939,524.76939,524.76939,3.811e-05,0.019998961453,0.52476939
0.0,0.0,0.0,0.0,0.0,0.0,0.0
475.00156,475.00651,475.00081,475.00651,3.41005838,1619.78859736,0.475003186707
0.0,0.0,0.0,0.0,0.0,0.0,0.0
524.77,524.77,524.77,524.77,0.176851,92.80609927,0.52477
500.0,500.0,480.00001,480.00001,1.24003,605.2308234,0.488077565382
524.77,524.77,465.00143,488.76711,41.14063936,19631.5002257,0.47718024151
465.00415,475.0,465.00415,475.0,0.50774803,236.88106238,0.466532705957
475.00001,475.00001,475.00001,475.00001,0.02,9.5000002,0.47500001
475.00013,475.00013,475.0,475.0,1.01078477,480.122850435,0.475000083781
0.0,0.0,0.0,0.0,0.0,0.0,0.0
474.76999,474.77,474.76999,474.77,0.14916,70.8166931,0.47476999933
490.0,490.0,490.0,490.0,0.21201223,103.8859927,0.49
475.00001,475.00001,465.00781,465.00781,3.07923263,1442.65111945,0.468509948029
499.98933,527.99987,465.0,465.00001,2.76320289,1325.23530661,0.47960115828199995
465.00001,465.00001,445.00001,445.00001,5.14001826,2361.66192341,0.45946566800800004
455.99999,503.18147,400.0,503.18147,18.12199892,7668.54522736,0.423162216332
400.0,400.0,375.93621,375.93621,1.5,596.677285,0.397784856667
466.666,466.666,385.00001,385.00001,0.15591857,62.2112413995,0.398998280959
450.0,450.0,385.01001,385.01001,1.2,483.501001,0.40291750083300004
424.99784,425.0,295.0,404.82901,24.17732817,8288.42401971,0.34281803023999996
425.0,452.99999,420.01001,420.01001,7.70277355,3357.93914999,0.435938967723
420.02001,449.18,412.33637,433.15178,3.287,1380.54872536,0.420002654507
413.00001,415.0,397.0,397.0,4.51108142,1856.8095262,0.411610732178
0.0,0.0,0.0,0.0,0.0,0.0,0.0
